年月,村里代碼,區域,村里,戶數,人口,男性人口,女性人口,未滿15歲,15-65歲,超過65歲,超過20歲,18-19歲
2015-11,65000010-001,新北市板橋區,留侯里,689,1648,784,864,224,1235,189,1339,33
2015-11,65000010-002,新北市板橋區,流芳里,637,1564,729,835,217,1119,228,1261,36
2015-11,65000010-003,新北市板橋區,赤松里,317,835,408,427,128,578,129,642,31
2015-11,65000010-004,新北市板橋區,黃石里,442,1185,578,607,203,818,164,917,25
2015-11,65000010-005,新北市板橋區,挹秀里,735,1792,876,916,236,1289,267,1452,49
2015-11,65000010-006,新北市板橋區,湳興里,2328,5746,2778,2968,697,4410,639,4742,131
2015-11,65000010-007,新北市板橋區,新興里,1498,3340,1603,1737,348,2545,447,2819,77
2015-11,65000010-008,新北市板橋區,社後里,4769,9213,5124,4089,739,7473,1001,8068,193
2015-11,65000010-009,新北市板橋區,香社里,1585,4549,2260,2289,530,3556,463,3746,110
2015-11,65000010-010,新北市板橋區,中正里,1628,4596,2256,2340,605,3587,404,3749,95
2015-11,65000010-011,新北市板橋區,自強里,2057,5409,2636,2773,636,3975,798,4574,95
2015-11,65000010-012,新北市板橋區,自立里,1099,2973,1435,1538,362,2235,376,2447,69
2015-11,65000010-013,新北市板橋區,光華里,1098,2823,1397,1426,317,2141,365,2347,76
2015-11,65000010-014,新北市板橋區,國光里,1576,3931,1929,2002,372,2999,560,3313,103
2015-11,65000010-015,新北市板橋區,港尾里,1095,3039,1429,1610,424,2368,247,2420,86
2015-11,65000010-016,新北市板橋區,金華里,1470,4169,2046,2123,533,3194,442,3411,104
2015-11,65000010-017,新北市板橋區,港德里,1941,5139,2520,2619,628,3892,619,4255,111
2015-11,65000010-018,新北市板橋區,民權里,1069,2763,1377,1386,311,1987,465,2326,54
2015-11,65000010-019,新北市板橋區,建國里,1430,3775,1841,1934,432,2856,487,3153,81
2015-11,65000010-020,新北市板橋區,漢生里,1685,4504,2180,2324,638,3268,598,3634,99
2015-11,65000010-021,新北市板橋區,公舘里,1492,4167,2049,2118,626,3028,513,3287,88
2015-11,65000010-022,新北市板橋區,新民里,1730,4729,2315,2414,790,3413,526,3681,108
2015-11,65000010-023,新北市板橋區,幸福里,1506,4214,2096,2118,534,3186,494,3408,117
2015-11,65000010-024,新北市板橋區,忠誠里,1667,4258,2061,2197,546,3092,620,3482,87
2015-11,65000010-025,新北市板橋區,百壽里,934,2502,1210,1292,375,1808,319,1977,57
2015-11,65000010-026,新北市板橋區,介壽里,1206,3254,1563,1691,449,2398,407,2608,81
2015-11,65000010-027,新北市板橋區,新埔里,882,2224,1080,1144,219,1694,311,1890,59
2015-11,65000010-028,新北市板橋區,華江里,3130,7703,3570,4133,1424,5684,595,5818,204
2015-11,65000010-029,新北市板橋區,江翠里,1785,4933,2434,2499,594,3798,541,4069,115
2015-11,65000010-030,新北市板橋區,純翠里,2077,5680,2773,2907,678,4449,553,4666,139
2015-11,65000010-031,新北市板橋區,溪頭里,2407,6301,3097,3204,792,4859,650,5138,157
2015-11,65000010-032,新北市板橋區,聯翠里,1650,3792,1787,2005,445,2913,434,3128,91
2015-11,65000010-033,新北市板橋區,宏翠里,2167,4987,2385,2602,609,3989,389,4123,93
2015-11,65000010-034,新北市板橋區,仁翠里,1106,3051,1484,1567,338,2362,351,2575,64
2015-11,65000010-035,新北市板橋區,新翠里,3046,8175,3928,4247,1016,6580,579,6629,212
2015-11,65000010-036,新北市板橋區,吉翠里,1374,3953,1929,2024,494,3158,301,3244,93
2015-11,65000010-037,新北市板橋區,德翠里,2690,7620,3730,3890,1169,6029,422,5960,212
2015-11,65000010-038,新北市板橋區,滿翠里,1146,3169,1536,1633,366,2423,380,2637,74
2015-11,65000010-039,新北市板橋區,明翠里,1963,5137,2489,2648,577,3938,622,4295,106
2015-11,65000010-040,新北市板橋區,松翠里,1400,3581,1735,1846,429,2762,390,2944,83
2015-11,65000010-041,新北市板橋區,柏翠里,1746,4257,2031,2226,550,3235,472,3461,115
2015-11,65000010-042,新北市板橋區,龍翠里,1989,5258,2557,2701,605,4165,488,4339,161
2015-11,65000010-043,新北市板橋區,華翠里,1393,3898,1864,2034,628,2914,356,3077,82
